slug,title_ar,status,issue_date_hijri,issue_date_gregorian,publish_date_hijri,publish_date_gregorian,effective_date_hijri,effective_date_gregorian,organized_source,knowledge_file,document_scope,catalog_source,version_status,version_status_label_ar,historical_versions_available,recent_update_note,article_count,paragraph_count,indexable_paragraph_count,text_chars,verbatim_chars,citation_base_ar,official_source_url_primary,verbatim_file
alnzam-almwhd-lmkafhh-alighraq-waltdabyr-altawydyh-walwqayyh-ldwl-mjls-altaawn-ldwl-alkhlyj-alar,"القانون ""النظام"" الموحد لمكافحة الإغراق والتدابير التعويضية والوقائية لدول مجلس التعاون لدول الخليج العربية",ساري,1427/05/17 هـ الموافق : 13/06/2006 مـ,2006-06-13,1427/06/25 هـ الموافق : 21/07/2006 مـ,2006-07-21,1427/06/25 هـ الموافق : 21/07/2006 مـ,2006-07-21,documents/saudi_regulations/official_latest/alnzam-almwhd-lmkafhh-alighraq-waltdabyr-altawydyh-walwqayyh-ldwl-mjls-altaawn-ldwl-alkhlyj-alar.pdf,documents/knowledge/saudi_regulations/alnzam-almwhd-lmkafhh-alighraq-waltdabyr-altawydyh-walwqayyh-ldwl-mjls-altaawn-ldwl-alkhlyj-alar.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,17,32,32,7245,7253,"القانون ""النظام"" الموحد لمكافحة الإغراق والتدابير التعويضية والوقائية لدول مجلس التعاون لدول الخليج العربية",https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/0da0543b-72bf-4405-98f3-a9a700f1c593/1,data/structured/verbatim_texts/alnzam-almwhd-lmkafhh-alighraq-waltdabyr-altawydyh-walwqayyh-ldwl-mjls-altaawn-ldwl-alkhlyj-alar.txt
alnzam-almwhd-lltadyn-ldwl-mjls-altaawn,القانون (النظام) الموحد للتعدين لدول مجلس التعاون,ساري,1435/07/06 هـ الموافق : 05/05/2014 مـ,2014-05-05,1435/08/22 هـ الموافق : 20/06/2014 مـ,2014-06-20,1435/08/22 هـ الموافق : 20/06/2014 مـ,2014-06-20,documents/saudi_regulations/official_latest/alnzam-almwhd-lltadyn-ldwl-mjls-altaawn.pdf,documents/knowledge/saudi_regulations/alnzam-almwhd-lltadyn-ldwl-mjls-altaawn.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,62,184,184,31352,31741,القانون (النظام) الموحد للتعدين لدول مجلس التعاون,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/652bbeb0-fb94-4f08-b70c-a9a700f2a0c2/1,data/structured/verbatim_texts/alnzam-almwhd-lltadyn-ldwl-mjls-altaawn.txt
alnzam-alasas-ljamah-almlk-sawd-mwssh-akadymyh-mstqlh-ghyr-hadfh-llrbh,النظام الأساس لجامعة الملك سعود (مؤسسة أكاديمية مستقلة غير هادفة للربح),ساري,1444/02/09 هـ الموافق : 05/09/2022 مـ,2022-09-05,1444/02/13 هـ الموافق : 09/09/2022 مـ,2022-09-09,1444/02/13 هـ الموافق : 09/09/2022 مـ,2022-09-09,documents/saudi_regulations/official_latest/alnzam-alasas-ljamah-almlk-sawd-mwssh-akadymyh-mstqlh-ghyr-hadfh-llrbh.pdf,documents/knowledge/saudi_regulations/alnzam-alasas-ljamah-almlk-sawd-mwssh-akadymyh-mstqlh-ghyr-hadfh-llrbh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,22,123,123,16776,16779,النظام الأساس لجامعة الملك سعود (مؤسسة أكاديمية مستقلة غير هادفة للربح),https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c3825760-995a-4f0e-83ca-af230115f2f5/1,data/structured/verbatim_texts/alnzam-alasas-ljamah-almlk-sawd-mwssh-akadymyh-mstqlh-ghyr-hadfh-llrbh.txt
alnzam-alasas-ljmayh-alkshafh-alarbyh-alsawdyh,النظام الأساس لجمعية الكشافة العربية السعودية,ساري,1439/07/25 هـ الموافق : 11/04/2018 مـ,2018-04-11,1439/08/23 هـ الموافق : 09/05/2018 مـ,2018-05-09,1439/08/23 هـ الموافق : 09/05/2018 مـ,2018-05-09,documents/saudi_regulations/official_latest/alnzam-alasas-ljmayh-alkshafh-alarbyh-alsawdyh.pdf,documents/knowledge/saudi_regulations/alnzam-alasas-ljmayh-alkshafh-alarbyh-alsawdyh.txt,system_only,official_catalog,current_official_text_with_embedded_amendment_notes,النص الحالي مع إشارات تعديل,False,,34,127,127,12042,12045,النظام الأساس لجمعية الكشافة العربية السعودية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/4db42334-ba00-47bf-b9f9-a9f4016e0ac1/1,data/structured/verbatim_texts/alnzam-alasas-ljmayh-alkshafh-alarbyh-alsawdyh.txt
alnzam-alasas-lmstshfa-almlk-khald-altkhssy-llaywn-wmrkz-alabhath-mwssh-mstqlh-dhat-tbyah-khash,النظام الأساس لمستشفى الملك خالد التخصصي للعيون ومركز الأبحاث (مؤسسة مستقلة ذات طبيعة خاصة وغير هادفة للربح),ساري,1446/04/21 هـ الموافق : 24/10/2024 مـ,2024-10-24,1446/04/29 هـ الموافق : 01/11/2024 مـ,2024-11-01,1446/04/29 هـ الموافق : 01/11/2024 مـ,2024-11-01,documents/saudi_regulations/official_latest/alnzam-alasas-lmstshfa-almlk-khald-altkhssy-llaywn-wmrkz-alabhath-mwssh-mstqlh-dhat-tbyah-khash.pdf,documents/knowledge/saudi_regulations/alnzam-alasas-lmstshfa-almlk-khald-altkhssy-llaywn-wmrkz-alabhath-mwssh-mstqlh-dhat-tbyah-khash.txt,system_only,official_catalog,current_official_text_with_embedded_amendment_notes,النص الحالي مع إشارات تعديل,False,,21,116,116,14779,14779,النظام الأساس لمستشفى الملك خالد التخصصي للعيون ومركز الأبحاث (مؤسسة مستقلة ذات طبيعة خاصة وغير هادفة للربح),https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/a187d565-1a52-45cc-a1de-b2dc00daae23/1,data/structured/verbatim_texts/alnzam-alasas-lmstshfa-almlk-khald-altkhssy-llaywn-wmrkz-alabhath-mwssh-mstqlh-dhat-tbyah-khash.txt
alnzam-alasas-lmstshfa-almlk-fysl-altkhssy-wmrkz-alabhath-mwssh-mstqlh-dhat-tbyah-khash-wghyr-ha,النظام الأساس لمستشفى الملك فيصل التخصصي ومركز الأبحاث (مؤسسة مستقلة ذات طبيعة خاصة وغير هادفة للربح),ساري,1443/05/13 هـ الموافق : 17/12/2021 مـ,2021-12-17,1443/05/20 هـ الموافق : 24/12/2021 مـ,2021-12-24,1443/05/20 هـ الموافق : 24/12/2021 مـ,2021-12-24,documents/saudi_regulations/official_latest/alnzam-alasas-lmstshfa-almlk-fysl-altkhssy-wmrkz-alabhath-mwssh-mstqlh-dhat-tbyah-khash-wghyr-ha.pdf,documents/knowledge/saudi_regulations/alnzam-alasas-lmstshfa-almlk-fysl-altkhssy-wmrkz-alabhath-mwssh-mstqlh-dhat-tbyah-khash-wghyr-ha.txt,system_only,official_catalog,current_official_text_with_embedded_amendment_notes,النص الحالي مع إشارات تعديل,False,,21,114,114,14234,14234,النظام الأساس لمستشفى الملك فيصل التخصصي ومركز الأبحاث (مؤسسة مستقلة ذات طبيعة خاصة وغير هادفة للربح),https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/cdb31382-3f97-4232-82e8-ae0b00dc2727/1,data/structured/verbatim_texts/alnzam-alasas-lmstshfa-almlk-fysl-altkhssy-wmrkz-alabhath-mwssh-mstqlh-dhat-tbyah-khash-wghyr-ha.txt
alnzam-alasasy-llathadat-alryadyh-walljnh-alawlmbyh-alarbyh-alsawdyh,النظام الأساسي للاتحادات الرياضية واللجنة الأولمبية العربية السعودية,ساري,1407/10/19 هـ الموافق : 15/06/1987 مـ,1987-06-15,1407/12/06 هـ الموافق : 31/07/1987 مـ,1987-07-31,1407/12/06 هـ الموافق : 31/07/1987 مـ,1987-07-31,documents/saudi_regulations/official_latest/alnzam-alasasy-llathadat-alryadyh-walljnh-alawlmbyh-alarbyh-alsawdyh.pdf,documents/knowledge/saudi_regulations/alnzam-alasasy-llathadat-alryadyh-walljnh-alawlmbyh-alarbyh-alsawdyh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,17,18,18,3741,3803,النظام الأساسي للاتحادات الرياضية واللجنة الأولمبية العربية السعودية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/040228ce-9ca5-4666-aab1-a9a700f27c6d/1,data/structured/verbatim_texts/alnzam-alasasy-llathadat-alryadyh-walljnh-alawlmbyh-alarbyh-alsawdyh.txt
basic-law-of-governance,النظام الأساسي للحكم,ساري,1412/08/27 هـ الموافق : 01/03/1992 مـ,1992-03-01,1412/09/02 هـ الموافق : 06/03/1992 مـ,1992-03-06,1412/09/02 هـ الموافق : 06/03/1992 مـ,1992-03-06,documents/saudi_regulations/official_latest/basic-law-of-governance.pdf,documents/knowledge/saudi_regulations/basic-law-of-governance.txt,system_only,official_catalog,current_official_text_with_embedded_amendment_notes,النص الحالي مع إشارات تعديل,False,,83,84,84,12693,13363,النظام الأساسي للحكم,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/16b97fcb-4833-4f66-8531-a9a700f161b6/1,data/structured/verbatim_texts/basic-law-of-governance.txt
alnzam-alasasy-llmjls-aldwly-lltmwr,النظام الأساسي للمجلس الدولي للتمور,ساري,1438/01/24 هـ الموافق : 25/10/2016 مـ,2016-10-25,1440/03/21 هـ الموافق : 29/11/2018 مـ,2018-11-29,1440/03/21 هـ الموافق : 29/11/2018 مـ,2018-11-29,documents/saudi_regulations/official_latest/alnzam-alasasy-llmjls-aldwly-lltmwr.pdf,documents/knowledge/saudi_regulations/alnzam-alasasy-llmjls-aldwly-lltmwr.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,40,71,71,15903,15931,النظام الأساسي للمجلس الدولي للتمور,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f0761b32-f420-4435-bd2f-a9a700f25a36/1,data/structured/verbatim_texts/alnzam-alasasy-llmjls-aldwly-lltmwr.txt
alnzam-alasasy-llmrkz-alihsayy-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh,النظام الأساسي للمركز الإحصائي لدول مجلس التعاون لدول الخليج العربية,ساري,1435/06/12 هـ الموافق : 12/04/2014 مـ,2014-04-12,1435/07/24 هـ الموافق : 23/05/2014 مـ,2014-05-23,1435/07/24 هـ الموافق : 23/05/2014 مـ,2014-05-23,documents/saudi_regulations/official_latest/alnzam-alasasy-llmrkz-alihsayy-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.pdf,documents/knowledge/saudi_regulations/alnzam-alasasy-llmrkz-alihsayy-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt,system_only,official_catalog,current_official_text,النص الرسمي الحالي,False,,20,40,40,9780,9785,النظام الأساسي للمركز الإحصائي لدول مجلس التعاون لدول الخليج العربية,https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/d93b5ced-1adb-494d-85fd-a9a700f1e817/1,data/structured/verbatim_texts/alnzam-alasasy-llmrkz-alihsayy-ldwl-mjls-altaawn-ldwl-alkhlyj-alarbyh.txt
